"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type",Comment,Date,Impressions,Reach,Shares,Follows,"Profile visits",Replies,"Link clicks","Product button clicks","Sticker taps",Navigation
17926839848656087,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",0,"03/14/2023 06:03",https://instagram.com/stories/viderma.sports/3058331923110243566,"IG story",,Lifetime,53,52,0,0,0,0,0,0,0,57
17904724085670179,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 💪",0,"03/14/2023 06:03",https://instagram.com/stories/viderma.sports/3058329092164889295,"IG story",,Lifetime,56,55,0,0,0,0,0,0,0,62
18082556911336439,17841454488074241,viderma.sports,"Viderma Sports","#TeamViderma 
💪",5,"03/13/2023 16:03",https://instagram.com/stories/viderma.sports/3057899712251294049,"IG story",,Lifetime,49,47,0,0,0,1,0,0,0,47
18044932714382426,17841454488074241,viderma.sports,"Viderma Sports",,15,"03/13/2023 07:03",https://instagram.com/stories/viderma.sports/3057642183915153908,"IG story",,Lifetime,52,51,0,0,0,0,0,0,0,59
17905720226738327,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/11/2023 01:03",https://instagram.com/stories/viderma.sports/3056038929275341990,"IG story",,Lifetime,54,54,0,0,2,0,0,0,0,63
17922903719671003,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/11/2023 01:03",https://instagram.com/stories/viderma.sports/3056038837948620517,"IG story",,Lifetime,55,55,0,0,0,0,0,0,0,66
17980677949953306,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/11/2023 01:03",https://instagram.com/stories/viderma.sports/3056038774077721316,"IG story",,Lifetime,58,58,0,0,0,0,0,0,0,68
17975189027119871,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/11/2023 01:03",https://instagram.com/stories/viderma.sports/3056038652132469655,"IG story",,Lifetime,60,60,0,0,0,0,0,0,0,74
17945841977595289,17841454488074241,viderma.sports,"Viderma Sports",,5,"03/07/2023 18:03",https://instagram.com/stories/viderma.sports/3053643509098663796,"IG story",,Lifetime,45,43,0,0,0,0,0,0,0,57
17897065637696460,17841454488074241,viderma.sports,"Viderma Sports",,0,"03/07/2023 11:03",https://instagram.com/stories/viderma.sports/3053425422180754677,"IG story",,Lifetime,34,33,0,0,0,0,0,0,0,41
